diagnosis_code,diagnosis_desc,fce,admissions,emergency,waiting_list,mean_los_days,mean_age,year,baseline_admissions,baseline_waiting,pct_change_admissions,pct_change_waiting,backlog_trap
H40-H42,Glaucoma,18661,18661,2747,15394,2.2,68,1998,24607,22414,-24.16385581,-31.31971089,FALSE
H60-H95,Diseases of the ear and mastoid process,104045,104045,13060,88426,1.7,22,1998,84407,52226,23.26584288,69.31413472,FALSE
I00-I09,Rheumatic heart disease,5515,5515,1069,3101,10.3,64,1998,10374,7223,-46.83824947,-57.0677004,FALSE
I10-I15,Hypertensive diseases,18362,18362,8325,3805,7.4,60,1998,23783,2280,-22.79359206,66.88596491,FALSE
I20-I25,Ischaemic heart diseases,363098,363098,192135,81494,6.7,66,1998,261119,97302,39.05460729,-16.24632587,FALSE
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,22146,22146,14718,961,10.9,63,1998,37907,4020,-41.57807265,-76.09452736,FALSE
I30-I52,Other forms of heart disease,254618,254618,149270,34833,9.8,70,1998,315197,93243,-19.21940881,-62.64277211,FALSE
I60-I69,Cerebrovascular diseases,144800,144800,83253,8364,25.4,73,1998,111035,6188,30.40933039,35.16483516,FALSE
I70-I79,"Diseases of arteries, arterioles & capillaries",78439,78439,19483,42991,9.7,68,1998,63831,32256,22.88543184,33.28062996,FALSE
I80-I89,Diseases of veins & lymphatic system nec.,159579,159579,38059,104714,4.5,52,1998,92570,44011,72.38738252,137.9268819,FALSE
I95-I99,Other & unspecified disorders of the circulatory system,10060,10060,5861,1450,10.8,73,1998,31408,2880,-67.96994396,-49.65277778,FALSE
J00-J06,Acute upper respiratory infections,90876,90876,79091,8710,1.5,9,1998,161783,26977,-43.82846158,-67.7132372,FALSE
J10-J18,Influenza & pneumonia,108866,108866,77924,1882,13,60,1998,290880,3167,-62.57356986,-40.57467635,FALSE
J20-J22,Other acute lower respiratory infections,126516,126516,99518,1769,8.4,48,1998,180764,2259,-30.0104003,-21.69101372,FALSE
J30-J39,Other diseases of upper respiratory tract,151782,151782,9465,138655,1.4,28,1998,107638,81531,41.01153868,70.06414738,FALSE
J40-J47,Chronic lower respiratory diseases,221367,221367,163524,6532,7.5,53,1998,238267,13856,-7.092883194,-52.85796767,FALSE
J60-J70,Lung diseases due to external agents,4319,4319,2525,218,15,65,1998,27790,730,-84.45843829,-70.1369863,FALSE
J80-J99,Other diseases of the respiratory system,52586,52586,27041,9184,9.7,60,1998,87306,24605,-39.76817172,-62.6742532,FALSE
K00-K14,"Diseases of oral cavity, salivary glands & jaws",183655,183655,7293,170488,1.7,30,1998,261727,226140,-29.82955522,-24.60953392,FALSE
K20-K31,Diseases of oesophagusstomach & duodenum,333554,333554,46362,218463,7.1,56,1998,,,,,FALSE
K35-K38,Diseases of appendix,37251,37251,33922,824,4.2,28,1998,47892,1585,-22.21874217,-48.0126183,FALSE
K40-K46,Hernia,160882,160882,15780,134602,3.2,54,1998,205256,169908,-21.61885645,-20.77948066,FALSE
K50-K52,Noninfective enteritis & colitis,108807,108807,52100,37502,6.4,41,1998,256561,128206,-57.59020272,-70.74863891,FALSE
K55-K63,Other diseases of intestines,227772,227772,88373,105228,6.6,55,1998,646953,416865,-64.7931148,-74.75729553,FALSE
K65-K67,Diseases of peritoneum,7756,7756,3817,2018,11.1,54,1998,9087,3064,-14.64729834,-34.1383812,FALSE
K70-K77,Diseases of liver,25400,25400,10807,5461,11.6,53,1998,48952,14543,-48.11243667,-62.44928832,FALSE
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",115538,115538,44044,48832,6.3,57,1998,213979,92559,-46.0049818,-47.24229951,FALSE
K90-K93,Other diseases of the digestive system,64372,64372,33000,11950,6.9,58,1998,137810,66278,-53.28931137,-81.96988443,FALSE
L20-L30,Dermatitis and eczema,10776,10776,5294,4024,6,36,1998,13675,3628,-21.19926874,10.91510474,FALSE
L40-L45,Papulosquamous disorders (including Psoriasis),11006,11006,1428,7613,13.1,49,1998,11725,5176,-6.132196162,47.08268934,FALSE
L50-L54,Urticaria and erythems,4503,4503,3593,436,3.6,26,1998,10481,2209,-57.03654231,-80.26256225,FALSE
M00-M25,Arthropathies,303800,303800,36090,246661,7.7,54,1998,609032,456301,-50.11756361,-45.94335756,FALSE
M30-M36,Systemic connective tissue disorders,15269,15269,4242,6286,9.9,50,1998,27080,8801,-43.61521418,-28.57629815,FALSE
M40-M54,Dorsopathies,147842,147842,29917,97974,7.3,52,1998,320545,195899,-53.87792666,-49.98749356,FALSE
M60-M79,Soft tissue disorders,120646,120646,35731,75379,3.2,51,1998,248802,137373,-51.50923224,-45.12822753,FALSE
M80-M94,Osteopathies and chondropathies,44675,44675,11467,24822,9.2,51,1998,88894,37621,-49.74351475,-34.02089259,FALSE
M95-M99,Other disorders of the musculoskeletal system & conn. tiss.,4063,4063,392,3400,6,41,1998,10711,3885,-62.06703389,-12.48391248,FALSE
N17-N19,Renal failure,48737,48737,15468,7754,9.7,61,1998,95579,20216,-49.00867345,-61.64424218,FALSE
N20-N23,Urolithiasis,54045,54045,19817,26592,3.4,50,1998,89624,45150,-39.69807195,-41.10299003,FALSE
N25-N29,Other disorders of kidney & ureter,3973,3973,929,2072,5.9,47,1998,6342,3525,-37.35414696,-41.21985816,FALSE
N30-N39,Other diseases of the urinary system,169827,169827,52517,91438,7.5,56,1998,272213,84232,-37.61245789,8.554943489,FALSE
N40-N51,Diseases of male genital organs,125570,125570,22510,93889,3.7,48,1998,125265,81313,0.243483814,15.46616162,FALSE
N60-N64,Disorders of breast,32606,32606,3101,28436,2.3,43,1998,17983,10986,81.31568704,158.8385218,FALSE
N70-N77,Inflammatory diseases of female pelvic organs,29939,29939,12920,14987,2.7,36,1998,24358,9244,22.91239018,62.12678494,FALSE
N80-N98,Noninflammatory disorders of female genital tract,292829,292829,30660,246895,3.4,43,1998,209704,163170,39.63920574,51.3115156,FALSE
O00-O08,Pregnancy with abortive outcome,182067,182067,75630,91479,1.2,31,1998,122159,52756,49.04100394,73.40018197,FALSE
O80-O84,Delivery,127333,127333,616,786,2.2,28,1998,31065,215,309.8921616,265.5813953,FALSE
P00-P04,Complications of fetus/neonate affected by maternal,12490,12490,104,10,3.5,0,1998,261,1,4685.440613,900,FALSE
Q00-Q89,Congenital malformations,96797,96797,9168,57662,4.7,11,1998,102677,60952,-5.726696339,-5.397689986,FALSE
Q90-Q99,Chromosomal abnormalities nec.,1832,1832,275,711,26,14,1998,1396,450,31.23209169,58,FALSE
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,264658,264658,187585,38860,3.3,54,1998,440918,49035,-39.97568709,-20.75048435,FALSE
R10-R19,Symptoms & signs inv. the digestive system & abdomen,336974,336974,182620,105178,3.4,43,1998,554882,231112,-39.27105222,-54.4904635,FALSE
R20-R23,Symptoms & signs inv. the skin & subcutaneous tissue,24597,24597,13035,9025,2.4,34,1998,40073,5175,-38.61951938,74.39613527,FALSE
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,22988,22988,8414,2925,19.7,50,1998,105466,3769,-78.20340204,-22.39320775,FALSE
R30-R39,Symptoms & signs involving the urinary system,117965,117965,31663,69609,4.8,60,1998,107642,47671,9.590122815,46.01959262,FALSE
R40-R46,"Symptoms & signs inv. Cognition, perception etc.",32846,32846,23625,1894,11.5,67,1998,,,,,FALSE
R47-R49,Symptoms & signs inv. speech & voice,7373,7373,1296,5192,6.4,56,1998,8412,1772,-12.35140276,193.0022573,FALSE
R50-R68,General symptoms & signs,212176,212176,150325,25364,7.1,48,1998,316803,48924,-33.02588675,-48.15632409,FALSE
R70-R89,Abnormal findings of bodily fluids or samples without diag.,29327,29327,2119,21451,2.6,41,1998,35639,18325,-17.71093465,17.05866303,FALSE
R90-R94,Abnormal findings on diagnostic imaging/function studies,19259,19259,2495,13354,4.1,59,1998,44497,29898,-56.71843046,-55.334805,FALSE
R95-R99,Ill-defined & unknown causes of mortality,71,71,44,5,9.4,57,1998,,,,,FALSE
S00-S09,Injuries to the head,125557,125557,99805,13428,3.1,32,1998,183751,13648,-31.67003173,-1.611957796,FALSE
S10-S19,Injuries to the neck,6229,6229,4975,244,9.6,39,1998,10158,232,-38.67887379,5.172413793,FALSE
S20-S29,Injuries to the thorax,14177,14177,11845,121,7.7,52,1998,28420,450,-50.11611541,-73.11111111,FALSE
S30-S39,"Injuries to abdomen, lower back, lumbar spine & pelvis",25059,25059,20203,454,11.2,50,1998,41319,824,-39.35235606,-44.90291262,FALSE
S40-S49,Injuries to the shoulder & upper arm,25800,25800,21261,1445,7.4,47,1998,48240,8096,-46.51741294,-82.15167984,FALSE
S50-S59,Injuries to the elbow & forearm,58565,58565,51650,3159,3.1,34,1998,72230,14930,-18.91873183,-78.84125921,FALSE
S60-S69,Injuries to the wrist & hand,55997,55997,46563,4642,1.8,32,1998,93794,33397,-40.29788686,-86.10054795,FALSE
S70-S79,Injuries to the hip & thigh,81808,81808,65623,1153,20.4,75,1998,87752,1689,-6.773634789,-31.73475429,FALSE
S80-S89,Injuries to the knee & lower leg,63601,63601,51815,5750,8.2,45,1998,78912,11458,-19.40262571,-49.81672194,FALSE
S90-S99,Injuries to the ankle & foot,11252,11252,9524,712,5.6,39,1998,18875,2883,-40.38675497,-75.3035033,FALSE
T00-T07,Injuries involving multiple body regions,1733,1733,1464,33,10.4,42,1998,4339,276,-60.05992164,-88.04347826,FALSE
T08-T14,Injuries to unspecified part of trunk limb or body,5452,5452,4306,422,5.9,46,1998,1568,47,247.7040816,797.8723404,FALSE
T15-T19,Effects of foreign body entering through natural orifice,12376,12376,8663,2627,1.2,25,1998,18660,3954,-33.67631297,-33.56095094,FALSE
T20-T32,Burns and corrosions,9463,9463,7148,508,6.7,26,1998,12909,854,-26.69455419,-40.51522248,FALSE
T33-T35,Frostbite,35,35,25,3,10.4,39,1998,46,4,-23.91304348,-25,FALSE
T36-T50,Poisonings by drugs medicaments & biological substances,100097,100097,90209,157,1.8,32,1998,116697,145,-14.22487296,8.275862069,FALSE
T51-T65,Tox. effcts. of substnces. chiefly non-medicinal as to source,9443,9443,8261,185,1.8,28,1998,8017,144,17.7872022,28.47222222,FALSE
